layout_id,layout_sha256,weather_file,weather_sha256,heliostat_count,reported_number_heliostats,aperture_area_m2_input,max_radius_m,x_span_p99_m,y_span_p99_m,convex_hull_area_m2,area_sf_output_m2,land_area_output_m2,base_land_area_output_m2,opteff_mean,opteff_min,opteff_max,opteff_p10,opteff_p90,flux_table_rows,flux_table_cols,flux_map_count,flux_peak_value,flux_mean_active,flux_peak_to_active_mean,flux_active_cv,note
baseline_full,17c4d9d0c4906187ea0b9c0367998fc0f1bfdde2ca4aae0ac63e6c8d6724e08a,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1988.054150591477,3307.6116,3328.32,9705942.44412801,0.0,2398.388489873137,2398.388489873137,0.35728608332420614,0.15592700103087073,0.40581244772403935,0.3014526846623905,0.3985005525767791,2064,24,86,0.0032008260022848845,0.0023467338020220965,1.3639493322705998,0.09691736882280721,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
deform_0276,732594ced1ad0c325d3097bf892b28916919c4a49a21f343ef649d477882ad7a,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1897.1590973654613,3098.280533098572,3175.7520790300796,8659873.667345367,0.0,2139.89949409419,2139.89949409419,0.368531810689137,0.145650168015286,0.4217685811395644,0.3050628584226902,0.41415517346388653,2064,24,86,0.0033617219887673855,0.0023545322396433285,1.4277663869561747,0.09870574124517627,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
deform_0893,c8713c5dd58d35fbab0f1ba8ba416020fdcd0d5cf67870b366756eec78fee7da,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,2015.1856751896803,3325.3281069738105,3349.8269037714617,9599919.678819507,0.0,2372.189717304405,2372.189717304405,0.3581512584642348,0.1530690036636238,0.4068201012975086,0.3027524004731001,0.3994887392364789,2064,24,86,0.0032473832834511995,0.0023480185013711715,1.38303138648815,0.09833798385717614,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
deform_1387,ab6755454f56ff3714af36e93f7025ef8dda41482022fe10c539e2d0dc4cfdd0,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1972.8505813492714,3371.931911077234,3187.531724949739,9476776.755004045,0.0,2341.760465056435,2341.760465056435,0.3598089438890156,0.15431649719879106,0.4091119174527608,0.3023079934783942,0.40183742513624104,2064,24,86,0.003279673168435693,0.0023487101964877566,1.3963720059375955,0.09678235370314703,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
ctrl_radial_expand_015,9ff20aba5bb32231a30c7bf3543ddb8926621171e0373e37840cb6a6a1d1503c,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,2017.874962850349,3357.225774,3378.2447999999995,9999304.554501766,0.0,2470.879781970756,2470.879781970756,0.35409984406718314,0.15844143953352094,0.4014150298416339,0.3001531065711685,0.3941838833970116,2064,24,86,0.003164825029671192,0.0023448237503039533,1.3497070000510463,0.09665188378615237,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
joint_g02_0333,3f25b15176fb7d169f770dab18b1652fd75f2c558423516aa10633a196b74c5c,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1972.7130636443571,3282.40997712024,3237.6608431151208,9412906.493728831,0.0,2325.977793814887,2325.977793814887,0.3605554104209499,0.15396783969388128,0.410221483579302,0.3021775718986166,0.40290664474025695,2064,24,86,0.0032609610352665186,0.0023490074805780073,1.3882293105614598,0.09699012853482178,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
joint_g04_0478,5b71c11cb5c599a2f072e683cc1c64d87da8f8c5027ed4b8200f2331ab1c5f84,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,2000.8533026931832,3405.5419124277314,3299.820625849487,9917551.160370585,0.0,2450.6780961645436,2450.6780961645436,0.3548141011438901,0.15742007529902993,0.40216470911247854,0.30096331747453253,0.3949736068166314,2064,24,86,0.0032321964390575886,0.0023461138534683307,1.3776809826510914,0.0976620036902826,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
sb_pf_energy,3379713ef82bd6ff0ff8ffd485db67b9f62b939f48f423de2ed4691020b0446a,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1969.0943996176625,3208.426503573708,3302.541028943233,9354424.336672084,0.0,2311.526550596504,2311.526550596504,0.35962572490643774,0.15405933179872044,0.40900018539847677,0.30233905955629803,0.4016077308261823,2064,24,86,0.003203477943316102,0.0023473017377026676,1.364749103986684,0.09738744364280508,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
sb_pf_flux,e9768dfc3eb57bea5fe8ca261a2a62247d089ce0f33ad6852cee68a562b5a3f5,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1986.735532704281,3377.5168798530062,3325.757322293788,9896934.165061727,0.0,2445.583530088175,2445.583530088175,0.35435264625146096,0.15744508927632342,0.40188594844006753,0.30018431043668337,0.39466490009024624,2064,24,86,0.003183642402291298,0.002346792912386143,1.3565928145974642,0.09783004116916774,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
sb_hs_energy,f393bcbca5370425b9f9b99ec55bbde4d8acaa61491e2beb405519d8cd4eebfc,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1976.444168984555,3272.1265927011937,3297.8793769978765,9540077.783209944,0.0,2357.402475871669,2357.402475871669,0.35897294118756157,0.1546148703508239,0.40801726536061,0.3022069126791383,0.40063454977817925,2064,24,86,0.0032131506595760584,0.0023471473560233887,1.368959921212565,0.0971291681824638,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
sb_hs_flux,b96e1549e3a2a8ffb0935c48695daff159b58c95a3b62d0a20593c6502f117ca,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,2001.062348572182,3387.460068102362,3345.239486770611,9954083.80136669,0.0,2459.7055004503495,2459.7055004503495,0.35443156959351435,0.15740868039233671,0.40177862221057475,0.3001572890755885,0.3945172836407739,2064,24,86,0.003195208730176091,0.002346728263862542,1.3615588900425195,0.0972123604018791,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
sb_ta_energy,92449945ed0f24566dccafa2cd166b87fb71f58c64ac98757cdd781c30ced03c,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1951.4801519078949,3246.053880326611,3272.766209010113,9365430.054984285,0.0,2314.2461203232356,2314.2461203232356,0.361002083088576,0.15263214213622223,0.4110248781585051,0.30281974487314756,0.4036063359882336,2064,24,86,0.003239078214392066,0.002349219272704864,1.378789222456288,0.09775976157388318,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
sb_ta_flux,a20fc75dbb3e578d9baf8c08e7616f262448e4087c89a1331bd74e164193c0ec,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1978.9116246248664,3339.293080052153,3268.111087913552,9625672.306015082,0.0,2378.5533243122277,2378.5533243122277,0.3582774110872593,0.1546717596942452,0.4071277245984671,0.302049965976083,0.399824779753447,2064,24,86,0.0032287035137414932,0.002347614062275432,1.3753127337344635,0.09706541818317288,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
sb_hy_energy,3c5ff8894401623834abc8602c9324bdbdd5ebe36ad18f1453240dd802b05286,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,1935.1564227435138,3195.840382817729,3248.5471946234015,9154121.089249685,0.0,2262.0305842297,2262.0305842297,0.3635035268644145,0.15064911696356267,0.41448393145011847,0.30388314077441936,0.40695157459659337,2064,24,86,0.0032586518209427595,0.0023504187126339505,1.3864133243268029,0.0981313428438978,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
sb_hy_flux,af129916272985df187827e9a78c2dfd54ab34946e4ed9ddf60bd915490f08e0,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,2027.0171709406093,3405.3720962041657,3341.4672372888645,9989715.62408737,0.0,2468.5103077381505,2468.5103077381505,0.35474358804009426,0.1541645319898004,0.40239877547790553,0.29975488892339197,0.39516562648871734,2064,24,86,0.0032051685266196728,0.0023463704615406386,1.3660112838767766,0.09652647838147937,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
sb_balanced,d0dfd87e020a6b48f7b3dae7ec37b56dee46ad7aef8819efc67724d32dbf55ea,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/data/weather/dunhuang_nasa_power_2023_sam.csv,cc6a6da86a3bc1b2fa2c85b65256c0a220d6ebc0cd86cc2568331079387bea79,11915,11915.0,1378803.8,2035.7905057248845,3327.34129152235,3409.6031942993895,9987210.647317804,0.0,2467.8913151209504,2467.8913151209504,0.35143735306433893,0.1572273872958652,0.3983640669649643,0.2979183873658947,0.3910907205242062,2064,24,86,0.003164186840876937,0.002345508119308398,1.3490410946903635,0.09664329116502929,PySAM Solarpilot helio_positions_in uses x/y positions; terrain z and custom staggered aiming are not represented in this preliminary run.
